Date,VIX,SPY
1995-08-21,13.42,32.8058
1995-08-22,12.6,32.8699
1995-08-23,13.17,32.7509
1995-08-24,12.94,32.7875
1995-08-25,12.33,32.9705
1995-08-28,12.48,32.8516
1995-08-29,12.65,32.9339
1995-08-30,12.03,33.0071
1995-08-31,11.52,33.0346
1995-09-01,11.29,33.181
1995-09-05,11.65,33.4921
1995-09-06,11.65,33.5562
1995-09-07,11.85,33.5745
1995-09-08,11.16,33.7026
1995-09-11,11.51,33.7941
1995-09-12,11.46,33.9497
1995-09-13,11.35,34.1052
1995-09-14,11.1,34.4163
1995-09-15,11.58,34.4068
1995-09-18,12.34,34.278
1995-09-19,12.67,34.4437
1995-09-20,12.35,34.6093
1995-09-21,12.5,34.3241
1995-09-22,12.46,34.3332
1995-09-25,13.22,34.278
1995-09-26,12.9,34.2688
1995-09-27,12.9,34.2413
1995-09-28,12.46,34.4988
1995-09-29,12.74,34.4344
1995-10-02,13.95,34.2597
1995-10-03,14.5,34.2965
1995-10-04,14.86,34.2597
1995-10-05,15.74,34.3609
1995-10-06,13.98,34.3885
1995-10-09,14.85,34.1033
1995-10-10,14.97,34.0849
1995-10-11,14.57,34.1953
1995-10-12,14.24,34.4068
1995-10-13,13.67,34.5172
1995-10-16,14.62,34.3517
1995-10-17,14.03,34.5817
1995-10-18,14.05,34.6828
1995-10-19,13.55,34.8484
1995-10-20,13.46,34.6368
1995-10-23,14.17,34.5632
1995-10-24,13.85,34.6
1995-10-25,14.49,34.3149
1995-10-26,15.59,34.0021
1995-10-27,14.63,34.2597
1995-10-30,14.26,34.4805
1995-10-31,13.83,34.3332
1995-11-01,13.41,34.6093
1995-11-02,13.19,34.83
1995-11-03,12.26,34.8761
1995-11-06,12.74,34.7564
1995-11-07,13.05,34.6277
1995-11-08,12.16,34.9404
1995-11-09,12.46,35.0692
1995-11-10,12.97,35.0508
1995-11-13,13.2,35.014
1995-11-14,13.38,34.784
1995-11-15,12.95,35.1336
1995-11-16,12.57,35.3268
1995-11-17,12.49,35.4372
1995-11-20,12.37,35.2532
1995-11-21,11.74,35.5384
1995-11-22,11.81,35.428
1995-11-24,11.87,35.52
1995-11-27,12.43,35.5292
1995-11-28,11.57,35.9064
1995-11-29,11.65,35.9432
1995-11-30,11.58,35.8604
1995-12-01,11.11,35.9064
1995-12-04,10.66,36.348
1995-12-05,11.65,36.5872
1995-12-06,12.7,36.67
1995-12-07,12.74,36.4768
1995-12-08,11.12,36.5964
1995-12-11,11.06,36.7528
1995-12-12,10.63,36.6424
1995-12-13,10.36,36.8724
1995-12-14,11.07,36.6056
1995-12-15,11.44,36.619
1995-12-18,14.55,35.9155
1995-12-19,13.16,36.295
1995-12-20,12.2,35.9432
1995-12-21,10.77,36.1284
1995-12-22,11.51,36.258
1995-12-26,11.49,36.4338
1995-12-27,11.98,36.4153
1995-12-28,12.25,36.3783
1995-12-29,12.52,36.4246
1996-01-02,12.19,36.8134
1996-01-03,12.1,36.9152
1996-01-04,13.78,36.5635
1996-01-05,13.58,36.4894
1996-01-08,13.11,36.6282
1996-01-09,15.21,35.9988
1996-01-10,16.4,35.5267
1996-01-11,14.69,35.7396
1996-01-12,14.23,35.6841
1996-01-15,14.99,35.61
1996-01-16,14.09,36.0451
1996-01-17,14.25,35.934
1996-01-18,13.58,36.0543
1996-01-19,12.7,36.295
1996-01-22,13.34,36.3043
1996-01-23,13.56,36.3876
1996-01-24,12.54,36.6838
1996-01-25,12.94,36.5542
1996-01-26,12.0,36.8689
1996-01-29,12.19,37.017
1996-01-30,12.42,37.3317
1996-01-31,12.53,37.7205
1996-02-01,12.65,37.8594
1996-02-02,13.23,37.702
1996-02-05,13.46,38.0075
1996-02-06,14.59,38.3685
1996-02-07,14.11,38.5906
1996-02-08,13.89,39.0072
1996-02-09,14.63,38.9979
1996-02-12,14.69,39.2941
1996-02-13,14.94,39.2108
1996-02-14,15.59,38.8683
1996-02-15,16.13,38.6276
1996-02-16,15.37,38.4703
1996-02-20,16.8,38.0908
1996-02-21,14.47,38.5629
1996-02-22,14.56,39.1738
1996-02-23,14.78,39.0627
1996-02-26,16.38,38.5073
1996-02-27,16.63,38.387
1996-02-28,16.72,38.2111
1996-02-29,17.04,37.8409
1996-03-01,16.72,38.4425
1996-03-04,16.67,38.6647
1996-03-05,16.1,39.0257
1996-03-06,16.56,38.6832
1996-03-07,16.49,38.8776
1996-03-08,20.7,37.6187
1996-03-11,19.4,38.0537
1996-03-12,19.09,37.7575
1996-03-13,18.13,38.0167
1996-03-14,16.93,38.1833
1996-03-15,16.54,38.1577
1996-03-18,17.31,38.8922
1996-03-19,18.35,38.8085
1996-03-20,18.66,38.762
1996-03-21,17.74,38.6691
1996-03-22,17.05,38.7713
1996-03-25,17.84,38.697
1996-03-26,17.8,38.8829
1996-03-27,17.89,38.5296
1996-03-28,18.16,38.6784
1996-03-29,18.88,38.4924
1996-04-01,17.9,38.9387
1996-04-02,16.45,39.0131
1996-04-03,16.33,39.0131
1996-04-04,16.18,38.9852
1996-04-08,18.72,38.3157
1996-04-09,17.32,38.167
1996-04-10,20.22,37.4883
1996-04-11,19.65,37.4418
1996-04-12,17.38,37.9159
1996-04-15,16.83,38.2321
1996-04-16,16.45,38.3436
1996-04-17,17.07,38.2507
1996-04-18,16.41,38.3064
1996-04-19,15.12,38.3994
1996-04-22,15.38,38.697
1996-04-23,15.01,38.8178
1996-04-24,14.91,38.6784
1996-04-25,14.72,38.855
1996-04-26,14.75,38.9387
1996-04-29,15.45,38.9387
1996-04-30,15.83,38.9108
1996-05-01,16.07,38.9945
1996-05-02,18.62,38.325
1996-05-03,16.7,38.2693
1996-05-06,16.92,38.2321
1996-05-07,16.87,38.074
1996-05-08,15.78,38.5482
1996-05-09,16.99,38.5203
1996-05-10,15.61,38.9015
1996-05-13,15.16,39.4873
1996-05-14,14.9,39.729
1996-05-15,15.59,39.6825
1996-05-16,15.71,39.7662
1996-05-17,15.13,39.98
1996-05-20,15.8,40.2497
1996-05-21,16.0,40.1939
1996-05-22,15.5,40.5751
1996-05-23,16.17,40.4077
1996-05-24,15.54,40.5658
1996-05-28,16.92,40.1567
1996-05-29,17.15,39.887
1996-05-30,16.02,40.0916
1996-05-31,16.07,39.7941
1996-06-03,16.86,39.9056
1996-06-04,16.18,40.1846
1996-06-05,16.04,40.5379
1996-06-06,16.84,40.2403
1996-06-07,16.1,40.2403
1996-06-10,16.78,40.1102
1996-06-11,16.68,40.073
1996-06-12,17.0,39.9986
1996-06-13,17.12,39.9986
1996-06-14,18.64,39.8312
1996-06-17,17.46,39.8034
1996-06-18,17.45,39.478
1996-06-19,17.54,39.6546
1996-06-20,16.97,39.6267
1996-06-21,15.8,39.9675
1996-06-24,15.91,40.0423
1996-06-25,15.43,39.9956
1996-06-26,15.23,39.7245
1996-06-27,14.19,40.0049
1996-06-28,13.68,40.1451
1996-07-01,13.78,40.491
1996-07-02,14.19,40.3414
1996-07-03,14.21,40.2573
1996-07-05,16.09,39.2291
1996-07-08,16.42,39.0702
1996-07-09,15.49,39.2291
1996-07-10,15.51,39.388
1996-07-11,17.81,38.5935
1996-07-12,17.09,38.6216
1996-07-15,20.11,37.4813
1996-07-16,20.1,37.5747
1996-07-17,19.22,38.0234
1996-07-18,17.93,38.5468
